Pin#, PORT IO, Function, Direction
17,PA0, ,
18,PA1, ,
19,PA2, ,
20,PA3, ,
21,PA4, ,
22,PA5, ,
23,PA6, ,
24,PA7, ,
45,PB0, ,
46,PB1, ,
47,PB2, ,
48,PB3, ,
58,PB4, ,
57,PB5, ,
1,PB6, ,
4,PB7, ,
52,PC0,TCK/SWCLK,
51,PC1,TMS/SWDIO,
50,PC2,TDI,
49,PC3,TDO/SWO,
16,PC4, ,
15,PC5, ,
14,PC6, ,
13,PC7, ,
61,PD0, ,Output
62,PD1, ,Output
63,PD2, ,Output
64,PD3, ,Output
43,PD4, ,
44,PD5, ,
53,PD6, ,
10,PD7, ,
9,PE0, ,Input
8,PE1, ,Input
7,PE2, ,Input
6,PE3, ,Input
59,PE4, ,
60,PE5, ,
28,PF0, ,
29,PF1, ,
30,PF2, ,
31,PF3, ,
5,PF4, ,
